Time,Initial_ratio_Triple,Treatment,Replicate,Ratio_startcycle,Triple,G238S,Ratio,CTX,Unique_code
0,0.9,0.2,3,0.9,,,0.9,12.5,0.9_12.5_T0_Repl3
0,0.9,0.2,4,0.9,,,0.9,12.5,0.9_12.5_T0_Repl4
0,0.9,0.2,5,0.9,,,0.9,12.5,0.9_12.5_T0_Repl5
0,0.9,0.2,6,0.9,,,0.9,12.5,0.9_12.5_T0_Repl6
0,0.9,0.2,7,0.9,,,0.9,12.5,0.9_12.5_T0_Repl7
0,0.9,0.2,8,0.9,,,0.9,12.5,0.9_12.5_T0_Repl8
0,0.9,0.43,1,0.9,,,0.9,12.5,0.9_12.5_T0_Repl1
0,0.9,0.43,2,0.9,,,0.9,12.5,0.9_12.5_T0_Repl2
0,0.9,0.43,3,0.9,,,0.9,12.5,0.9_12.5_T0_Repl3
0,0.9,0.43,4,0.9,,,0.9,12.5,0.9_12.5_T0_Repl4
0,0.9,0.43,5,0.9,,,0.9,12.5,0.9_12.5_T0_Repl5
0,0.9,0.43,6,0.9,,,0.9,12.5,0.9_12.5_T0_Repl6
0,0.9,0.43,7,0.9,,,0.9,12.5,0.9_12.5_T0_Repl7
0,0.9,0.43,8,0.9,,,0.9,12.5,0.9_12.5_T0_Repl8
0,0.9,0.93,1,0.9,,,0.9,12.5,0.9_12.5_T0_Repl1
0,0.9,0.93,2,0.9,,,0.9,12.5,0.9_12.5_T0_Repl2
0,0.9,0.93,3,0.9,,,0.9,12.5,0.9_12.5_T0_Repl3
0,0.9,0.93,4,0.9,,,0.9,12.5,0.9_12.5_T0_Repl4
0,0.9,0.93,5,0.9,,,0.9,12.5,0.9_12.5_T0_Repl5
0,0.9,0.93,6,0.9,,,0.9,12.5,0.9_12.5_T0_Repl6
0,0.9,0.93,7,0.9,,,0.9,12.5,0.9_12.5_T0_Repl7
0,0.9,0.93,8,0.9,,,0.9,12.5,0.9_12.5_T0_Repl8
0,0.9,2,1,0.9,,,0.9,12.5,0.9_12.5_T0_Repl1
0,0.9,2,2,0.9,,,0.9,12.5,0.9_12.5_T0_Repl2
0,0.9,2,3,0.9,,,0.9,12.5,0.9_12.5_T0_Repl3
0,0.9,2,4,0.9,,,0.9,12.5,0.9_12.5_T0_Repl4
0,0.9,2,5,0.9,,,0.9,12.5,0.9_12.5_T0_Repl5
0,0.9,2,6,0.9,,,0.9,12.5,0.9_12.5_T0_Repl6
0,0.9,2,7,0.9,,,0.9,12.5,0.9_12.5_T0_Repl7
0,0.9,2,8,0.9,,,0.9,12.5,0.9_12.5_T0_Repl8
48,0.1,0.2,1,0.1,3.35E+08,3.58E+07,0.903561231,12.5,0.1_12.5_T48_Repl1
48,0.1,0.2,2,0.1,2.75E+08,8.24E+07,0.769415846,12.5,0.1_12.5_T48_Repl2
48,0.1,0.2,3,0.1,2.46E+08,1.05E+08,0.701219512,12.5,0.1_12.5_T48_Repl3
48,0.1,0.2,4,0.1,2.93E+08,6.88E+07,0.809913245,12.5,0.1_12.5_T48_Repl4
48,0.1,0.2,5,0.1,3.42E+08,3.29E+07,0.912299408,12.5,0.1_12.5_T48_Repl5
48,0.1,0.2,6,0.1,3.03E+08,5.73E+07,0.840962115,12.5,0.1_12.5_T48_Repl6
48,0.1,0.2,7,0.1,3.39E+08,3.49E+07,0.906737968,12.5,0.1_12.5_T48_Repl7
48,0.1,0.2,8,0.1,3.54E+08,2.10E+07,0.943827424,12.5,0.1_12.5_T48_Repl8
48,0.1,0.43,1,0.1,1.48E+07,3.39E+08,0.041784462,12.5,0.1_12.5_T48_Repl1
48,0.1,0.43,2,0.1,1.49E+07,3.47E+08,0.0411534,12.5,0.1_12.5_T48_Repl2
48,0.1,0.43,3,0.1,3.76E+06,3.69E+08,0.010086378,12.5,0.1_12.5_T48_Repl3
48,0.1,0.43,4,0.1,5.78E+07,2.69E+08,0.176967323,12.5,0.1_12.5_T48_Repl4
48,0.1,0.43,5,0.1,3.91E+08,1.80E+05,0.999540347,12.5,0.1_12.5_T48_Repl5
48,0.1,0.43,6,0.1,1.28E+07,3.48E+08,0.035470441,12.5,0.1_12.5_T48_Repl6
48,0.1,0.43,7,0.1,1.13E+07,3.49E+08,0.031388642,12.5,0.1_12.5_T48_Repl7
48,0.1,0.43,8,0.1,1.26E+07,3.47E+08,0.034886951,12.5,0.1_12.5_T48_Repl8
48,0.1,0.93,1,0.1,3.00E+06,3.61E+08,0.008233615,12.5,0.1_12.5_T48_Repl1
48,0.1,0.93,2,0.1,2.88E+06,3.61E+08,0.007922535,12.5,0.1_12.5_T48_Repl2
48,0.1,0.93,3,0.1,2.12E+06,3.63E+08,0.005810766,12.5,0.1_12.5_T48_Repl3
48,0.1,0.93,4,0.1,3.02E+06,3.59E+08,0.00834162,12.5,0.1_12.5_T48_Repl4
48,0.1,0.93,5,0.1,2.98E+06,3.62E+08,0.008176032,12.5,0.1_12.5_T48_Repl5
48,0.1,0.93,6,0.1,3.22E+06,3.60E+08,0.008855398,12.5,0.1_12.5_T48_Repl6
48,0.1,0.93,7,0.1,4.78E+06,3.58E+08,0.013177482,12.5,0.1_12.5_T48_Repl7
48,0.1,0.93,8,0.1,2.70E+06,3.60E+08,0.007451565,12.5,0.1_12.5_T48_Repl8
48,0.1,2,1,0.1,3.92E+06,3.42E+08,0.011319665,12.5,0.1_12.5_T48_Repl1
48,0.1,2,2,0.1,3.64E+06,3.44E+08,0.010465183,12.5,0.1_12.5_T48_Repl2
48,0.1,2,3,0.1,4.56E+06,3.42E+08,0.013163212,12.5,0.1_12.5_T48_Repl3
48,0.1,2,4,0.1,4.86E+06,3.43E+08,0.013953488,12.5,0.1_12.5_T48_Repl4
48,0.1,2,5,0.1,3.42E+06,3.46E+08,0.009797181,12.5,0.1_12.5_T48_Repl5
48,0.1,2,6,0.1,3.42E+06,3.46E+08,0.009791011,12.5,0.1_12.5_T48_Repl6
48,0.1,2,7,0.1,3.36E+06,3.49E+08,0.009541118,12.5,0.1_12.5_T48_Repl7
48,0.1,2,8,0.1,4.76E+06,3.42E+08,0.013740546,12.5,0.1_12.5_T48_Repl8
48,0.5,0.2,1,0.5,3.26E+07,3.25E+08,0.091234547,12.5,0.5_12.5_T48_Repl1
48,0.5,0.2,2,0.5,2.04E+07,3.38E+08,0.057079028,12.5,0.5_12.5_T48_Repl2
48,0.5,0.2,3,0.5,9.28E+06,3.60E+08,0.025151778,12.5,0.5_12.5_T48_Repl3
48,0.5,0.2,4,0.5,1.78E+07,3.45E+08,0.049068254,12.5,0.5_12.5_T48_Repl4
48,0.5,0.2,5,0.5,1.92E+07,3.42E+08,0.053209179,12.5,0.5_12.5_T48_Repl5
48,0.5,0.2,6,0.5,2.02E+07,3.44E+08,0.055607451,12.5,0.5_12.5_T48_Repl6
48,0.5,0.2,7,0.5,1.58E+07,3.45E+08,0.043646837,12.5,0.5_12.5_T48_Repl7
48,0.5,0.2,8,0.5,1.52E+07,3.48E+08,0.041760785,12.5,0.5_12.5_T48_Repl8
48,0.5,0.43,1,0.5,2.11E+07,3.35E+08,0.059110812,12.5,0.5_12.5_T48_Repl1
48,0.5,0.43,2,0.5,1.65E+07,3.45E+08,0.045590516,12.5,0.5_12.5_T48_Repl2
48,0.5,0.43,3,0.5,1.85E+07,3.41E+08,0.051520036,12.5,0.5_12.5_T48_Repl3
48,0.5,0.43,4,0.5,2.16E+07,3.38E+08,0.06006006,12.5,0.5_12.5_T48_Repl4
48,0.5,0.43,5,0.5,2.55E+07,3.35E+08,0.07080973,12.5,0.5_12.5_T48_Repl5
48,0.5,0.43,6,0.5,2.12E+07,3.40E+08,0.058595481,12.5,0.5_12.5_T48_Repl6
48,0.5,0.43,7,0.5,1.67E+07,3.44E+08,0.046463861,12.5,0.5_12.5_T48_Repl7
48,0.5,0.43,8,0.5,1.61E+07,3.34E+08,0.046012445,12.5,0.5_12.5_T48_Repl8
48,0.5,0.93,1,0.5,2.58E+07,3.16E+08,0.075494905,12.5,0.5_12.5_T48_Repl1
48,0.5,0.93,2,0.5,3.03E+07,3.13E+08,0.088449653,12.5,0.5_12.5_T48_Repl2
48,0.5,0.93,3,0.5,2.30E+07,3.27E+08,0.065596252,12.5,0.5_12.5_T48_Repl3
48,0.5,0.93,4,0.5,2.46E+07,3.24E+08,0.070505828,12.5,0.5_12.5_T48_Repl4
48,0.5,0.93,5,0.5,2.45E+07,3.22E+08,0.070706487,12.5,0.5_12.5_T48_Repl5
